,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,T_index,Time
0,8697.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1
1,8694.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,8,2
2,8693.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,9,3
3,8689.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,14,4
4,8687.0,8.0,3.0,0.0,2.0,0.0,0.0,0.0,17,5
5,8684.0,10.0,3.0,0.0,2.0,0.0,1.0,0.0,23,6
6,8682.0,11.0,3.0,1.0,1.0,0.0,2.0,0.0,28,7
7,8676.0,14.0,6.0,1.0,1.0,0.0,2.0,0.0,37,8
8,8671.0,16.0,8.0,2.0,1.0,0.0,2.0,0.0,46,9
9,8664.0,22.0,9.0,2.0,1.0,0.0,2.0,0.0,54,10
10,8657.0,26.0,11.0,2.0,1.0,0.0,3.0,0.0,66,11
11,8650.0,27.0,15.0,3.0,2.0,0.0,3.0,0.0,81,12
12,8634.0,36.0,20.0,3.0,4.0,0.0,3.0,0.0,106,13
13,8610.0,52.0,23.0,4.0,8.0,0.0,3.0,0.0,143,14
14,8586.0,61.0,34.0,6.0,9.0,0.0,4.0,0.0,187,15
15,8562.0,72.0,44.0,6.0,11.0,0.0,5.0,0.0,228,16
16,8525.0,91.0,57.0,7.0,14.0,0.0,6.0,0.0,289,17
17,8482.0,112.0,65.0,10.0,24.0,0.0,7.0,0.0,369,18
18,8421.0,150.0,77.0,12.0,30.0,1.0,9.0,0.0,467,19
19,8340.0,195.0,89.0,20.0,42.0,1.0,13.0,0.0,612,20
20,8264.0,237.0,104.0,27.0,50.0,1.0,17.0,0.0,745,21
21,8150.0,306.0,122.0,37.0,64.0,1.0,20.0,0.0,934,22
22,8004.0,389.0,152.0,50.0,79.0,0.0,26.0,0.0,1182,23
23,7844.0,473.0,196.0,55.0,95.0,0.0,37.0,0.0,1461,24
24,7656.0,555.0,261.0,66.0,112.0,1.0,49.0,0.0,1809,25
25,7443.0,645.0,336.0,80.0,138.0,1.0,57.0,0.0,2201,26
26,7136.0,805.0,403.0,105.0,181.0,3.0,67.0,0.0,2747,27
27,6796.0,972.0,488.0,129.0,223.0,2.0,89.0,1.0,3371,28
28,6402.0,1139.0,605.0,168.0,272.0,4.0,109.0,1.0,4124,29
29,5988.0,1327.0,710.0,196.0,331.0,4.0,142.0,2.0,4920,30
30,5481.0,1527.0,854.0,246.0,404.0,5.0,181.0,2.0,5937,31
31,4956.0,1746.0,984.0,305.0,474.0,6.0,227.0,2.0,6991,32
32,4415.0,1916.0,1154.0,371.0,559.0,8.0,274.0,3.0,8155,33
33,3818.0,2126.0,1306.0,447.0,643.0,8.0,347.0,5.0,9451,34
34,3215.0,2252.0,1511.0,529.0,759.0,9.0,418.0,7.0,10879,35
35,2666.0,2386.0,1638.0,612.0,870.0,9.0,509.0,10.0,12228,36
36,2174.0,2421.0,1753.0,698.0,1050.0,9.0,581.0,14.0,13599,37
37,1701.0,2386.0,1905.0,823.0,1185.0,10.0,672.0,18.0,15036,38
38,1317.0,2332.0,1985.0,929.0,1330.0,8.0,777.0,22.0,16328,39
39,994.0,2210.0,2033.0,1026.0,1483.0,7.0,920.0,27.0,17645,40
40,766.0,1981.0,2076.0,1158.0,1614.0,8.0,1067.0,30.0,18898,41
41,577.0,1779.0,2075.0,1245.0,1749.0,11.0,1230.0,34.0,20044,42
42,426.0,1608.0,2010.0,1312.0,1896.0,14.0,1397.0,37.0,21080,43
43,310.0,1408.0,1948.0,1395.0,2023.0,15.0,1562.0,39.0,22061,44
44,222.0,1260.0,1807.0,1483.0,2109.0,19.0,1760.0,40.0,22966,45
45,172.0,1089.0,1696.0,1538.0,2195.0,13.0,1951.0,46.0,23768,46
46,122.0,930.0,1600.0,1560.0,2232.0,16.0,2193.0,47.0,24579,47
47,92.0,785.0,1484.0,1580.0,2293.0,18.0,2397.0,51.0,25289,48
48,75.0,660.0,1322.0,1609.0,2347.0,20.0,2613.0,54.0,25976,49
49,62.0,546.0,1183.0,1618.0,2374.0,26.0,2836.0,55.0,26613,50
50,53.0,464.0,1041.0,1610.0,2392.0,22.0,3055.0,63.0,27179,51
51,42.0,392.0,936.0,1582.0,2374.0,25.0,3284.0,65.0,27698,52
52,37.0,328.0,846.0,1579.0,2337.0,28.0,3478.0,67.0,28133,53
53,29.0,285.0,744.0,1540.0,2310.0,34.0,3688.0,70.0,28567,54
54,26.0,237.0,652.0,1486.0,2280.0,33.0,3908.0,78.0,29000,55
55,19.0,209.0,586.0,1406.0,2231.0,35.0,4126.0,88.0,29383,56
56,17.0,172.0,504.0,1365.0,2187.0,36.0,4329.0,90.0,29753,57
57,15.0,143.0,421.0,1334.0,2116.0,36.0,4541.0,94.0,30121,58
58,14.0,122.0,357.0,1282.0,2055.0,34.0,4737.0,99.0,30437,59
59,12.0,109.0,300.0,1238.0,1987.0,33.0,4918.0,103.0,30715,60
60,10.0,97.0,261.0,1186.0,1898.0,33.0,5108.0,107.0,30984,61
61,8.0,74.0,242.0,1144.0,1839.0,33.0,5250.0,110.0,31205,62
62,6.0,64.0,213.0,1100.0,1757.0,34.0,5412.0,114.0,31432,63
63,6.0,56.0,175.0,1044.0,1676.0,28.0,5595.0,120.0,31678,64
64,6.0,48.0,149.0,995.0,1608.0,29.0,5745.0,120.0,31871,65
65,5.0,41.0,130.0,949.0,1535.0,28.0,5891.0,121.0,32055,66
66,4.0,37.0,116.0,898.0,1453.0,28.0,6042.0,122.0,32234,67
67,4.0,26.0,109.0,870.0,1371.0,23.0,6172.0,125.0,32396,68
68,4.0,24.0,96.0,826.0,1297.0,22.0,6304.0,127.0,32549,69
69,4.0,21.0,82.0,787.0,1231.0,19.0,6428.0,128.0,32695,70
70,4.0,20.0,72.0,747.0,1174.0,22.0,6533.0,128.0,32815,71
71,4.0,14.0,64.0,702.0,1131.0,21.0,6633.0,131.0,32941,72
72,4.0,11.0,51.0,659.0,1072.0,19.0,6752.0,132.0,33080,73
73,2.0,9.0,42.0,623.0,1021.0,17.0,6851.0,135.0,33204,74
74,2.0,8.0,35.0,606.0,955.0,17.0,6942.0,135.0,33304,75
75,2.0,8.0,28.0,574.0,902.0,16.0,7033.0,137.0,33405,76
76,2.0,7.0,25.0,550.0,862.0,20.0,7095.0,139.0,33481,77
77,1.0,7.0,22.0,523.0,822.0,23.0,7162.0,140.0,33559,78
78,1.0,7.0,15.0,498.0,782.0,20.0,7235.0,142.0,33641,79
79,1.0,7.0,13.0,471.0,731.0,17.0,7315.0,145.0,33727,80
80,1.0,5.0,12.0,451.0,690.0,17.0,7377.0,147.0,33799,81
81,1.0,5.0,8.0,426.0,653.0,17.0,7441.0,149.0,33871,82
82,1.0,3.0,9.0,397.0,614.0,18.0,7508.0,150.0,33944,83
83,1.0,2.0,8.0,384.0,585.0,17.0,7552.0,151.0,33992,84
84,1.0,0.0,9.0,360.0,557.0,15.0,7606.0,152.0,34050,85
85,1.0,0.0,7.0,342.0,529.0,14.0,7654.0,153.0,34101,86
86,0.0,0.0,8.0,320.0,501.0,12.0,7705.0,154.0,34155,87
87,0.0,0.0,7.0,309.0,473.0,12.0,7745.0,154.0,34196,88
88,0.0,0.0,6.0,295.0,447.0,12.0,7786.0,154.0,34238,89
89,0.0,0.0,4.0,282.0,428.0,10.0,7822.0,154.0,34276,90
90,0.0,0.0,4.0,269.0,408.0,11.0,7854.0,154.0,34309,91
91,0.0,0.0,3.0,256.0,379.0,9.0,7899.0,154.0,34355,92
92,0.0,0.0,2.0,251.0,351.0,8.0,7933.0,155.0,34391,93
93,0.0,0.0,1.0,233.0,338.0,10.0,7962.0,156.0,34425,94
94,0.0,0.0,1.0,222.0,315.0,9.0,7996.0,157.0,34460,95
95,0.0,0.0,1.0,206.0,293.0,8.0,8035.0,157.0,34500,96
96,0.0,0.0,1.0,188.0,276.0,9.0,8068.0,158.0,34536,97
97,0.0,0.0,1.0,180.0,264.0,8.0,8088.0,159.0,34557,98
98,0.0,0.0,0.0,169.0,251.0,7.0,8114.0,159.0,34584,99
99,0.0,0.0,0.0,159.0,237.0,6.0,8138.0,160.0,34609,100
100,0.0,0.0,0.0,147.0,226.0,5.0,8162.0,160.0,34633,101
101,0.0,0.0,0.0,137.0,214.0,3.0,8186.0,160.0,34657,102
102,0.0,0.0,0.0,128.0,198.0,4.0,8210.0,160.0,34682,103
103,0.0,0.0,0.0,122.0,182.0,4.0,8232.0,160.0,34704,104
104,0.0,0.0,0.0,116.0,172.0,4.0,8248.0,160.0,34720,105
105,0.0,0.0,0.0,107.0,161.0,4.0,8268.0,160.0,34740,106
106,0.0,0.0,0.0,101.0,152.0,4.0,8283.0,160.0,34755,107
107,0.0,0.0,0.0,96.0,145.0,4.0,8295.0,160.0,34767,108
108,0.0,0.0,0.0,91.0,138.0,3.0,8308.0,160.0,34780,109
109,0.0,0.0,0.0,85.0,133.0,3.0,8319.0,160.0,34791,110
110,0.0,0.0,0.0,81.0,127.0,3.0,8329.0,160.0,34801,111
111,0.0,0.0,0.0,77.0,118.0,2.0,8342.0,161.0,34815,112
112,0.0,0.0,0.0,71.0,108.0,2.0,8358.0,161.0,34831,113
113,0.0,0.0,0.0,66.0,102.0,2.0,8369.0,161.0,34842,114
114,0.0,0.0,0.0,64.0,99.0,2.0,8374.0,161.0,34847,115
115,0.0,0.0,0.0,61.0,96.0,2.0,8380.0,161.0,34853,116
116,0.0,0.0,0.0,58.0,92.0,2.0,8387.0,161.0,34860,117
117,0.0,0.0,0.0,53.0,87.0,2.0,8397.0,161.0,34870,118
118,0.0,0.0,0.0,49.0,81.0,2.0,8407.0,161.0,34880,119
119,0.0,0.0,0.0,45.0,75.0,2.0,8417.0,161.0,34890,120
120,0.0,0.0,0.0,42.0,72.0,1.0,8424.0,161.0,34897,121
121,0.0,0.0,0.0,39.0,67.0,1.0,8432.0,161.0,34905,122
122,0.0,0.0,0.0,39.0,62.0,1.0,8437.0,161.0,34910,123
123,0.0,0.0,0.0,35.0,58.0,1.0,8445.0,161.0,34918,124
124,0.0,0.0,0.0,33.0,56.0,1.0,8449.0,161.0,34922,125
125,0.0,0.0,0.0,33.0,54.0,1.0,8451.0,161.0,34924,126
126,0.0,0.0,0.0,33.0,51.0,0.0,8455.0,161.0,34928,127
127,0.0,0.0,0.0,28.0,46.0,0.0,8465.0,161.0,34938,128
128,0.0,0.0,0.0,26.0,45.0,0.0,8468.0,161.0,34941,129
129,0.0,0.0,0.0,24.0,44.0,0.0,8471.0,161.0,34944,130
130,0.0,0.0,0.0,22.0,41.0,0.0,8476.0,161.0,34949,131
131,0.0,0.0,0.0,21.0,39.0,0.0,8479.0,161.0,34952,132
132,0.0,0.0,0.0,20.0,37.0,0.0,8482.0,161.0,34955,133
133,0.0,0.0,0.0,20.0,35.0,0.0,8484.0,161.0,34957,134
134,0.0,0.0,0.0,19.0,30.0,0.0,8490.0,161.0,34963,135
135,0.0,0.0,0.0,16.0,29.0,0.0,8494.0,161.0,34967,136
136,0.0,0.0,0.0,16.0,26.0,0.0,8497.0,161.0,34970,137
137,0.0,0.0,0.0,16.0,21.0,0.0,8502.0,161.0,34975,138
138,0.0,0.0,0.0,15.0,21.0,0.0,8503.0,161.0,34976,139
139,0.0,0.0,0.0,15.0,20.0,0.0,8504.0,161.0,34977,140
140,0.0,0.0,0.0,15.0,19.0,0.0,8505.0,161.0,34978,141
141,0.0,0.0,0.0,14.0,19.0,0.0,8506.0,161.0,34979,142
142,0.0,0.0,0.0,14.0,18.0,0.0,8507.0,161.0,34980,143
143,0.0,0.0,0.0,14.0,17.0,0.0,8508.0,161.0,34981,144
144,0.0,0.0,0.0,14.0,16.0,0.0,8509.0,161.0,34982,145
145,0.0,0.0,0.0,13.0,16.0,0.0,8510.0,161.0,34983,146
146,0.0,0.0,0.0,13.0,15.0,0.0,8511.0,161.0,34984,147
147,0.0,0.0,0.0,12.0,15.0,0.0,8512.0,161.0,34985,148
148,0.0,0.0,0.0,11.0,13.0,0.0,8515.0,161.0,34988,149
149,0.0,0.0,0.0,11.0,12.0,0.0,8516.0,161.0,34989,150
150,0.0,0.0,0.0,8.0,12.0,0.0,8519.0,161.0,34992,151
151,0.0,0.0,0.0,8.0,9.0,0.0,8522.0,161.0,34995,152
152,0.0,0.0,0.0,8.0,7.0,0.0,8524.0,161.0,34997,153
153,0.0,0.0,0.0,7.0,7.0,0.0,8525.0,161.0,34998,154
154,0.0,0.0,0.0,7.0,5.0,0.0,8527.0,161.0,35000,155
155,0.0,0.0,0.0,6.0,5.0,0.0,8528.0,161.0,35001,156
156,0.0,0.0,0.0,6.0,4.0,0.0,8529.0,161.0,35002,157
157,0.0,0.0,0.0,5.0,4.0,0.0,8530.0,161.0,35003,158
158,0.0,0.0,0.0,4.0,4.0,0.0,8531.0,161.0,35004,159
159,0.0,0.0,0.0,4.0,3.0,0.0,8532.0,161.0,35005,160
160,0.0,0.0,0.0,3.0,3.0,0.0,8533.0,161.0,35006,161
161,0.0,0.0,0.0,2.0,3.0,0.0,8534.0,161.0,35007,162
162,0.0,0.0,0.0,2.0,2.0,0.0,8535.0,161.0,35008,163
163,0.0,0.0,0.0,2.0,1.0,0.0,8536.0,161.0,35009,164
164,0.0,0.0,0.0,2.0,0.0,0.0,8537.0,161.0,35010,165
165,0.0,0.0,0.0,1.0,0.0,0.0,8538.0,161.0,35011,166
166,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35012,167
167,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35013,168
168,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35014,169
169,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35015,170
170,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35016,171
171,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35017,172
172,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35018,173
173,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35019,174
174,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35020,175
175,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35021,176
176,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35022,177
177,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35023,178
178,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35024,179
179,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35025,180
180,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35026,181
181,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35027,182
182,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35028,183
183,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35029,184
184,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35030,185
185,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35031,186
186,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35032,187
187,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35033,188
188,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35034,189
189,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35035,190
190,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35036,191
191,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35037,192
192,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35038,193
193,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35039,194
194,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35040,195
195,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35041,196
196,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35042,197
197,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35043,198
198,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35044,199
199,0.0,0.0,0.0,0.0,0.0,0.0,8539.0,161.0,35045,200
